off	new_ids	string
0x003102dc	DRAWING,THING	 DRAWING THE THING 
0x003206fc	DTIME	 DTIME %i 
0x002ea05c	Sidekicks	 ERROR : ERROR : Error in Get Sidekicks Loaded  
0x002ea02c	Players	 ERROR : Error in Get Main More Players Loaded 
0x002eff24	Partitioned	 ERROR : New Size %i of Partitioned Romlist Not Equal to old size %i
0x002f04b0	Romlistsize	 ERROR : Romlistsize has exceeded Maximum 
0x00320978	Edanble,FoodType	 Edanble FoodType %i 
0x0031f984	Picked	 Egg Has Been Picked Up By Someone Else
0x0031e23c	Stolen	 Egg Stolen 
0x0031e264	Trown	 Egg Trown Away 
0x0031f660	main_fdt	 Error : main_fdt is zero 
0x00319e10	FInished	 FInished Is SEt for Some Reason 
0x00311a30	FREEING	 FREEING GUARDIAN 
0x0031e9ec	FinalSetPosList	 FinalSetPosList for ident %i 
0x0031f018	Fireing	 Fireing 
0x0030b8f8	Fireing	 Fireing Object Mind Read Bit %i 
0x0031f614	Fireing	 Fireing Projectile at Player 
0x003209a8	FoodType	 FoodType %i 
0x003200b0	GETOFF,WOMAN	 GETOFF LET A WOMAN 
0x00320098	GETON	 GETON GETON GETON 
0x00312be8	GOODBYE	 GOODBYE 
0x00324318	HELLO	 HELLO 
0x003206ec	HHITS	 HHITS %i %i 
0x0030f911	Booldy	 HIT HIT HIT HIT Hit by Booldy Side Kick 
0x0031ec90	Dropped	 Have Dropped off All the eggs 
0x003242e0	Hello	 Hello 
0x00312354	Friend,Hello	 Hello My Friend 
0x00312e3c	Hieght	 Hieght From Ground %i 
0x003201b2	ONVEHICLE	 Hit By ONVEHICLE HIT 
0x00311eb4	Friend	 Hit By Projectile My Friend
0x003122e0	ELEVATOR	 In ELEVATOR
0x003119f4	Initalise	 Initalise Guardian State %i 
0x00312b38	ESCAPPED	 KYTE ESCAPPED 
0x00312b24	TRAPPED	 KYTE TRAPPED 
0x0031df7c	KeyPressy	 KeyPressy 
0x00302268	Killing	 Killing Bar 
0x0031f060	Bullet,Killing	 Killing Bullet 
0x0031f968	Given	 LOCK is Not of Given Type
0x0031df58	Linking	 Linking TO Object 
0x002ff8a9	FREEDED	 MOVELIB FREEDED 
0x0031df40	Drowned	 No Bits Drowned %i 
0x0030ae28	Viewer	 No Memory for Perf Viewer 
0x0031ea20	pieaces	 No pieaces %i Not Equal Amt %i 
0x002f0364	romdefs	 OVer FLOW FLOW in RD saves for moving romdefs 
0x00311a8c	OVeride	 OVeride Set 
0x00320058	Objlist	 Objlist is NULL
0x0030aa9c	PACKET	 PACKET SIZE %i 
0x002ffa35	FREEDED,PROJLIB	 PROJLIB FREEDED 
0x002ffa21	PROJLIB	 PROJLIB LOADED 
0x0031272c	Picked	 Picked Up Treasure 
0x00312b0c	RESETING	 RESETING GROUP LOAD 
0x003126c0	CREATED	 ROBOT  ROBOT  CREATED 
0x002f03d8	Removed	 Removed Restored Num %i 
0x0031ed88	Removing	 Removing Cylinder 
0x0031ee9c	Removing	 Removing Step %i 
0x002ea658	Result1	 Result1 
0x002ea678	Result2	 Result2 
0x0031e99c	Romdef	 Romdef %i 
0x0031deec	Mummy	 Running Mummy 
0x0031f924	RESETING	 STACK EMPTY SO RESETING 
0x00315e60	FREELEVEL,STARTING	 STARTING BOSS FREELEVEL 
0x00315edc	LOADLEVEL,STARTING	 STARTING LOADLEVEL 
0x002f03b0	Romdef	 Saving Romdef for for %i tab no %i 
0x003211c0	ScROLL	 ScROLL %i 
0x0030f880	Sending	 Sending FireFly 
0x0031f7d8	Sending	 Sending Off to pick up EGG %x 
0x0031fa64	Sending,backward	 Sending it backward %i 
0x0031defc	OPERATION	 Set OPERATION BIT %i  
0x003125a4	ObHit,Romdef	 Side %x ObHit %x Romdef %i
0x00312460	Exploder	 Simple Exploder 
0x00312744	Sorry	 Sorry You Have Failed 
0x00312484	Sorry	 Sorry You have no displacement for the force 
0x0031e198	Stolen	 Stolen 
0x00310228	TFRAME	 TFRAME ANIMATOR: no speed give 
0x00311d40	Birdy	 The Birdy End is Nigh 
0x00312854	Freeded	 Treasure Freeded
0x0031dfa0	Trying	 Trying Again 
0x003206d8	Turret	 Turret Timer %i 
0x002ed874	Finding	 VOXMAPS : Overflow in Route Points for Net Route Finding 
0x00311b24	MGetAngle	 Values MGetAngle %i Object Yaw  %i 
0x00312f30	maximumm	 WARNING 3D Tex WALL: exceeded maximumm no of vertices 
0x002f6f30	Memort	 WARNING : Not Enough Memort for Restart Point 
0x002ea4e8	hitlist	 WARNING : OBJHITS hitlist has overflowed 
0x003108b5	TDtexture,horiztonal	 WARNING : TDtexture cannot find a horiztonal or vertical vector 
0x00302238	alreadby,cmdmenu	 WARNING : cmdmenu Energy bar alreadby freed 
0x00302278	cmdmenu	 WARNING : cmdmenu No energy bar present 
0x002e803c	alreadly	 WARNING : temp dll no %i is alreadly created 
0x002e806c	alreadly	 WARNING : temp dll no %i is alreadly removed 
0x0031f67c	AVOIDANCE,Intersection	 WARNING AVOIDANCE FAILED: Obj Intersection 
0x002eadb0	Contrl	 WARNING: Expr Contrl Flag does not exist 
0x00316248	Partner	 WARNING: Rope Could Not Find Partner
0x003124b4	DefNumber,Exploder	 Warning : DefNumber Lists in Exploder DLL is not set up correctly for this object
0x002ea468	HitModel,Polyhits	 Warning HitModel %x [%d] has no Polyhits
0x00312274	Defno	 ob Obj %x  Defno %i 
0x00311e9d	Removing	 y| Removing Guard 
0x00312dcd	GhCFwalltorch	!GhCFwalltorch.c
0x00313b3d	XTDIMlavaball	"XTDIMlavaball.c
0x00313b8d	dimlavagen	"^ dimlavagen:action
0x002ec648	DVDLOAD,piRomLoadAddr	######## DVDLOAD piRomLoadAddr() ----- file=%s  #################
0x002ec960	DVDLOAD,piRomLoadLevel	######## DVDLOAD piRomLoadLevel() ---- file=%s  #################
0x002ecca4	DVDLOAD,piRomLoadLevel,piTable	######## DVDLOAD piRomLoadLevel() ---- file=%s  piTable 0x%x #################
0x002ecd44	DVDLOAD,piRomLoadLevel	######## DVDLOAD piRomLoadLevel() ----- file=%s  #################
0x002ec83c	DVDLOAD,piRomLoadSectionL	######## DVDLOAD piRomLoadSectionL() ----- file=%s  #################
0x00316095	pDIMbossspit	#:pDIMbossspit.c
0x0030cb87	BalloonBaddieDLL	#BalloonBaddieDLL
0x003161ad	OHtryint	#OHtryint to deactivate the river flow
0x002e7fa0	CHANGEMAP	$$$$$  CHANGEMAP 
0x00316db5	xshrine	$]xshrine.c
0x00316e6d	gxcreator	$gxcreator.c
0x0031630e	cDFcradle	%cDFcradle.c
0x00320f42	cDRcradle	%cDRcradle.c
0x002da630	NL_ONE,attenselect,diffuseatten,sCNTRL_REG	%sCNTRL_REG.attenselect == SPECULAR but %sCNTRL_REG.diffuseatten != NL_ONE
0x002f0078	SMAPNO	&&&&&&&&&&&&&&&&&&&& SMAPNO %d &&&&&&&&&&&&&
0x002f001c	SMAPNO	&&&&&RESET&&&&&&& SMAPNO %d &&&&&&&&&&&&&
0x002f0048	SMAPNO	&&&&&RESET&&&&&&&&&& SMAPNO %d &&&&&&&&&&&&&
0x00319035	adscalesanim	&adscalesanim.c
0x003190ed	rLbrokecannon	&rLbrokecannon.c
0x002d845c	GXInitFogAdjTable	'GXInitFogAdjTable' is not allowed between GXBegin/GXEnd
0x002d6b88	GXInitSpecularHA	'GXInitSpecularHA' is not allowed between GXBegin/GXEnd
0x002d5938	GXPokeBlendUpdate	'GXPokeBlendUpdate' is not allowed between GXBegin/GXEnd
0x002d68c8	GXReadBoundingBox	'GXReadBoundingBox' is not allowed between GXBegin/GXEnd
0x0030d5c0	BADDIE_HITTAB_SIZE,damagetab	(sizeof(damagetab)/sizeof(s8)) == BADDIE_HITTAB_SIZE
0x0030d57c	BADDIE_HITTAB_SIZE	(sizeof(hittab)/sizeof(int)) == BADDIE_HITTAB_SIZE
0x0030af98	diPrintf	*** diPrintf Error *** ---> Out of string space. (Print less text!)
0x002e84f0	mmAllocAtAddr	*** mmAllocAtAddr: '%s' size = 0 ***
0x002e59e4	INSERT	**** HEAP INSERT ****
0x002e8a20	LISTS	***** DISPLAY LISTS:
0x002e87e0	STRUCTURE	***** STRUCTURE:
0x002e89a4	COLOURS	***** VERTEX COLOURS:
0x002e89bc	TEXCOORDS	***** VERTEX TEXCOORDS:
0x0031fbd5	RECIEVED	*aH RECIEVED STOP MESSAGE 
0x002e78a0	lightControlGetLightsNearObject	+++++ lightControlGetLightsNearObject %d %d +++++
0x002eb614	objprintDrawGCChildModel	+++++ objprintDrawGCChildModel +++++ ARGS: %x %x
0x002eb560	objprintDrawGCModel	+++++ objprintDrawGCModel +++++ ARGS: %x %x
0x002e73c6	tFONTS	+tFONTS - can't add a string to window %d, out of range./n
0x00320ca5	ydDRvines	+ydDRvines.c
0x003131b7	MMP_asteroid	,MMP_asteroid.c
0x00321cc5	f0WCfloortile	,f0WCfloortile.c
0x002e7948	lightControlGetLightsNearObject	----- lightControlGetLightsNearObject -----
0x002eb6a0	objprintDrawGCChildModel	----- objprintDrawGCChildModel -----
0x002eb5f0	objprintDrawGCModel	----- objprintDrawGCModel -----
0x002eb7a0	renderGCModel	----- renderGCModel -----
0x0031f864	Going	-> Going TO Throw 
0x003056f0	savegames	../../work/db/savegames/
0x002e5420	MusicActions	/audio/data/MusicActions.data
0x002f3af1	jDEXF2_NONE	/jDEXF2_NONE
0x002eb704	modelno	1: objprint.c: modelno overflow
0x002eb414	modelno	2: objprint.c: modelno overflow
0x002eb438	modelno	3: objprint.c: modelno overflow
0x0031fa47	AAAgh	4 Tricky Has Hit Me AAAgh 
0x002eb478	modelno	4: objprint.c: modelno overflow
0x002f12b7	MAX_DECISION	4MAX_DECISION reached
0x003127ab	KILLED	4ROBOT KILLED 
0x0031342f	trying	4trying to kill fire crystal light
0x0030997b	objed	8objed:romdef
0x00313593	trying	8trying to start next seq
0x002ec171	mXanimtest	9mXanimtest
0x00302065	slcommandmenu	9slcommandmenu.c
0x0030a22d	xLJump	9xLJump Drop
0x0030a8d1	z4Distance	9z4Distance = %d
0x0030ae05	zpPERF_VIEWER	9zpPERF_VIEWER
0x002ec7d8	DCmiss,L1misscyc	<Cyc %d | Instr %d | L1misscyc %d | DCmiss %d>
0x00316790	mmshrineshrine,objControl	<objControl> mmshrineshrine.c WARNING switch statement hit default
0x0032d56c	fffDz	?&ff?fffDz
0x0030f59e	dduster	?dduster.c
0x00315847	DIMlevcontrol	@DIMlevcontrol.c
0x0030fef7	genprops	@genprops.c
0x00309918	ACCURATE	ACCURATE
0x002f046c	ROMDEF	ADD ROMDEF: no map!!!
0x002ec618	ROMLOAD	ADDR ROMLOAD file=%s
0x002d419c	OBSOLETED	AISetStreamSampleRate(): OBSOLETED. Only 48KHz streaming from disk is supported!
0x0030539c	AIgrading	AIgrading
0x002ecbc0	DB_ANIM	ALL BASES FULL DB_ANIM
0x002ecc08	DB_ANIMTAB	ALL BASES FULL DB_ANIMTAB
0x002eca00	DB_BLOCKS	ALL BASES FULL DB_BLOCKS
0x002eca64	DB_BLOCKSTAB	ALL BASES FULL DB_BLOCKSTAB
0x002ecb18	DB_MODELS	ALL BASES FULL DB_MODELS
0x002ecb6c	DB_MODTAB	ALL BASES FULL DB_MODTAB
0x002ecdec	DB_TEXTAB	ALL BASES FULL DB_TEXTAB
0x002ecd04	DB_TEXTAB2	ALL BASES FULL DB_TEXTAB2
0x002ecd9c	DB_TEXTURES	ALL BASES FULL DB_TEXTURES
0x002ecc5c	DB_TEXTURES2	ALL BASES FULL DB_TEXTURES2
0x00320900	AMBIENT_LAVAPIT	AMBIENT_LAVAPIT
0x00311c44	AMB_WINDLIFT	AMB_WINDLIFT
0x00311c54	AMB_WINDLIFTOUT	AMB_WINDLIFTOUT
0x0031310c	AMMUSICACTION_MMP_Ambience	AMMUSICACTION_MMP_Ambience
0x00313128	AMMUSICACTION_MMP_AmbienceKill	AMMUSICACTION_MMP_AmbienceKill
0x0031855c	AMMUSICACTION_SC_AmbienceDay	AMMUSICACTION_SC_AmbienceDay
0x0031851c	AMMUSICACTION_SC_AmbienceKill	AMMUSICACTION_SC_AmbienceKill
0x0031853c	AMMUSICACTION_SC_AmbienceNight	AMMUSICACTION_SC_AmbienceNight
0x0031857c	AMMUSICACTION_SC_ForcedSwap	AMMUSICACTION_SC_ForcedSwap
0x003184dc	AMMUSICACTION_SC_MainTuneDay	AMMUSICACTION_SC_MainTuneDay
0x003184bc	AMMUSICACTION_SC_MainTuneNight	AMMUSICACTION_SC_MainTuneNight
0x003184fc	AMMUSICACTION_SC_MaintuneKill	AMMUSICACTION_SC_MaintuneKill
0x00318828	AMMUSICACTION_SC_TotemFade	AMMUSICACTION_SC_TotemFade
0x003202fc	AMMUSICACTION_TREX_MainTune	AMMUSICACTION_TREX_MainTune
0x00320318	AMMUSICACTION_TREX_MainTuneKill	AMMUSICACTION_TREX_MainTuneKill
0x002f0efc	startframe	ANIM: move=%d startframe=%d
0x002f14fc	noanims	ANIM: noanims overflow
0x002e9974	ANIMBANK	ANIMBANK overflow
0x002f10a0	ANIMCOUNT1	ANIMCOUNT1 SET: val=%d
0x002f10b8	ANIMCOUNT2	ANIMCOUNT2 SET: val=%d
0x002cd210	ANIMHOLD	ANIMHOLD
0x002e81f4	ANIMSEQ_COL	ANIMSEQ_COL
0x002e81d0	ANIMS_COL	ANIMS_COL
0x0032453c	APPEAR	APPEAR
0x002d4328	ILLEGAL,SDRAM	ARInit(): ILLEGAL SDRAM REFRESH VALUE
0x002d43c8	anymore	ARSetSize(): I don't do anything anymore!
0x00322600	ARWarwingattachment	ARWarwingattachment.c
0x002e81dc	AUDIO_COL	AUDIO_COL
0x002d919c	Accumulation	Accumulation is on in BUMP stage 0.
0x003083b0	Aggression	Aggression
0x0030ac68	AntiAliasing	AntiAliasing   :
0x0030ae79	Assertion	Assertion failed: '%s' in file %s, line %d
0x002f6afc	Assigning	Assigning curve node link between %d and %d to walkgroup %d
0x0030d27c	SnowWorm	BADDIE:SnowWorm Unknown message [%d]
0x002cd0d0	BEENHIT	BEENHIT
0x002cd170	BEHINDME	BEHINDME
0x002e5a58	BITSTREAM	BITSTREAM: failed read
0x002ecabc	BLOCKSTAB	BLOCKSTAB
0x0031fe78	BOSSdrakor_laser	BOSSdrakor_laser.c
0x002edb44	tevStageID,texCoordID,texMapID,texMatrixID	BUMP: tevStageID=%d texMatrixID=%d texMapID=%d texCoordID=%d
0x003245bc	BWlog	BWlog.c
0x0030a56c	Backwards	Backwards
0x002ff7bc	BaddieControlDLL	BaddieControlDLL
0x00308720	Baddies	Baddies
0x00323dc0	BlkNo	BlkNo 
0x00321e38	Recharging	Bomb: Recharging
0x00323180	BossDIM	BossDIM
0x0030a254	Boundary	Boundary
0x0030abb8	BssStart	BssStart		= %x	Size = %x
0x002da268	MATRIXINDEX0_REG	Bumpmap textures are defined, which requires the binormals and tangents to be transformed by a normal matrix, but MATRIXINDEX0_REG.geom is set to an invalid value (%d)
0x002daa94	MATRIXINDEX0_REG	Bumpmap textures are defined, which requires the normal matrix values pointed to by MATRIXINDEX0_REG.geom (%d) to be loaded, however...
0x003232a4	CAM_COL	CAM_COL
0x003244f0	CASE3	CASE3
0x003244f8	CASE4	CASE4
0x00324500	CASE5	CASE5
0x00324508	CASE8	CASE8
0x00304328	CClaw_Shrine	CClaw_Shrine
0x00312bf4	CFTreasSharpy	CFTreasSharpy.c
0x00312244	CFbarrel	CFbarrel.c
0x00312d78	CFchuckobj	CFchuckobj.c
0x00312474	CFexploder	CFexploder.c
0x00312590	CFforcecontrol	CFforcecontrol.c
0x00312b9c	CFleveControl	CFleveControl.c
0x0031275c	CFtreasRobo	CFtreasRobo.c
0x002f7174	CINEMA	CINEMA OUT OF RANGE
0x002dc748	CMUUA	CMUUA 
0x002e818c	CODE_COL	CODE_COL
0x002e4f5c	CR_FTFOT	CR_FTFOT
0x002e4f68	CR_GTKBD	CR_GTKBD
0x002e4f74	CR_HTNTT	CR_HTNTT
0x002e4f98	CR_MCWIW	CR_MCWIW
0x002e4f80	CR_SNORE	CR_SNORE
0x002e4f8c	CR_TGWTK	CR_TGWTK
0x00323190	CR_TMH	CR_TMH
0x003231a0	CR_WTG	CR_WTG
0x00323188	CR_YDTB	CR_YDTB
0x00320270	CRdropbombs	CRdropbombs.c
0x00320210	CRfueltank	CRfueltank.c
0x00319e00	CRsnowbike	CRsnowbike.c
0x00320088	CRsnowclaw	CRsnowclaw.c
0x002cd0bc	CURVEFOLLOW	CURVEFOLLOW
0x002ff9a0	CURVEPOINT	CURVEPOINT :Error Could not find node 
0x00305f58	CURVETYPE	CURVETYPE %s	LINKS %d %d %d %d
0x003099c0	Cactus,baddy	Cactus baddy
0x002e56ec	Worldmtx	Cam: Worldmtx overflow!!!
0x002f6480	sentence	Can't have more than one new line in a subtitle sentence, not enough space on screen
0x002f0338	Cannot	Cannot move object with an ident of -1!!!
0x002e76cd	UNDEFINED	Char '%c'   :: UNDEFINED
0x0030414c	Characters	Characters
0x00321eac	Click	Click Timers: left=%f right=%f
0x00304120	Collectables	Collectables
0x002dabd4	MATRIXINDEX0_REG	Color %d lighting requires the normal matrix values pointed to by MATRIXINDEX0_REG.geom (%d) to be loaded, however...
0x002da6bc	MATRIXINDEX0_REG	Color %d lighting requires the normal to be transformed by a normal matrix, but MATRIXINDEX0_REG.geom is set to an invalid value (%d)
0x00304114	Container	Container
0x002f3d3c	creation	Control on the creation frame
0x002efecc	Correcting	Correcting Size: %d(%f,%f,%f) (%d->%d)
0x0030c0dc	Couldn,distract	Couldn't find a distract node
0x003083dc	Courage	Courage
0x002dd750	Crossfade	Crossfade information pointer is NULL.
0x002dfa78	originally	Current ARAM address does not match originally allocated one
0x0030dfc8	Cleanup	Curve Node %d, Cleanup code: link is linked to a node with four links already!
0x0030e018	Cleanup,making	Curve Node %d, Cleanup code: making a link two ways
0x0031efef	KILLBOT	D KILLBOT State %i Amt %i 
0x002e98d0	DANGER,createModelInstance,totalsize	DANGER: createModelInstance: Actual size exceeded totalsize!!!
0x0031f00c	DBKillbot	DBKillbot.c
0x0030430c	DBay_Shrine	DBay_Shrine
0x0031f108	DBbonedust	DBbonedust.c
0x0031ef38	DBbullet	DBbullet.c
0x0031f0b0	DBdustgeezer	DBdustgeezer.c
0x0031f158	DBkillboulder	DBkillboulder.c
0x0031ede4	DBlightgo	DBlightgo.c
0x0031e044	DBpointmum	DBpointmum.c
0x0031efa8	DBprotection	DBprotection.c
0x0031dd00	DBrockfall	DBrockfall.c
0x0031eee8	DBshooter	DBshooter.c
0x0031e118	DBspike	DBspike.c
0x0031ec18	DBwaterflow	DBwaterflow.c
0x002f1008	DECISION,jumplabel	DECISION: jumplabel=%d cond=%d
0x003042cc	DFalls_Shrine	DFalls_Shrine
0x003163a0	DFbarrel	DFbarrel.c
0x003163e8	DFbarrelanim	DFbarrelanim.c
0x003165d8	DFlantern	DFlantern.c
0x0032458c	DFlog	DFlog.c
0x003164d8	DFmole	DFmole.c
0x00304368	DForce_Point	DForce_Point
0x00316358	DFpulley	DFpulley.c
0x00316520	DFwhirlpool	DFwhirlpool.c
0x003158d8	DIM2conveyor	DIM2conveyor.c
0x00315950	DIM2flameburst	DIM2flameburst.c
0x00315a28	DIM2generator	DIM2generator: Control point array overflow
0x00315a08	DIM2generator	DIM2generator: Null node!!!
0x00315bd4	Cannont,DIM2icefloe	DIM2icefloe: Cannont find generator
0x00315ba8	DIM2icefloe,deleted	DIM2icefloe: Generator has been deleted
0x00315c38	DIM2icicle	DIM2icicle.c
0x00315b60	DIM2lift	DIM2lift.c
0x00315a58	Cannot,DIM2pathgenerator	DIM2pathgenerator: Cannot find start node
0x00315b18	DIM2projrock	DIM2projrock.c
0x003159c0	DIM2snowball	DIM2snowball.c
0x003159a0	DIM2snowball	DIM2snowball: Lost generator
0x003155dc	DIMboulder	DIMboulder.c
0x00315628	DIMcannon	DIMcannon.c
0x00315670	DIMlavasmash	DIMlavasmash.c
0x00313be8	DIMlogfire	DIMlogfire.c
0x003154bc	DIMsnowball	DIMsnowball.c
0x00315790	DIMwooddoor	DIMwooddoor.c
0x00319594	DISAPPEAR	DISAPPEAR
0x002cd15c	DISTRACTED	DISTRACTED
0x0030c154	DISTRACT_SPOTDISTRACTING	DISTRACT_SPOTDISTRACTING (1)
0x0030c1ac	DISTRACT_SPOTDISTRACTING	DISTRACT_SPOTDISTRACTING (2)
0x0030c11c	DISTRACT_SPOTFINDING	DISTRACT_SPOTFINDING (1)
0x0030c190	DISTRACT_SPOTFINDING	DISTRACT_SPOTFINDING (2)
0x0030c174	DISTRACT_SPOTRETURING	DISTRACT_SPOTRETURING (1)
0x0030c138	DISTRACT_SPOTTOSPOT	DISTRACT_SPOTTOSPOT (1)
0x002e6750	entrypoint	DLLS: warning DLL entrypoint mismatch, dll %d (%d/%d).
0x00323284	DLL_COL	DLL_COL
0x002cd0e4	DONEOVERRIDE	DONEOVERRIDE
0x003208a8	DRCloudball	DRCloudball.c
0x00321418	DRbarrelplace	DRbarrelplace.c
0x00320e48	DRbells	DRbells.c
0x00320850	DRbullet	DRbullet.c
0x00320b58	DRcagecontrol	DRcagecontrol.c
0x00321160	DRcavein	DRcavein.c
0x00320c0c	DRcloudcage	DRcloudcage.c
0x00319f48	DRcloudrunner	DRcloudrunner.c
0x00320a20	DRcreator	DRcreator.c
0x00319b90	DRearthwalk	DRearthwalk.c
0x00320ac0	DRexplodeDoor	DRexplodeDoor.c
0x00320b08	DRgeezer	DRgeezer.c
0x003206c8	DRlaserturret	DRlaserturret.c
0x003208f0	DRlavacontrol	DRlavacontrol.c
0x00321040	DRprojswitch	DRprojswitch.c
0x00320f88	DRpulley	DRpulley.c
0x00320d00	DRshackle	DRshackle.c
0x003209b8	DRsimplehuman	DRsimplehuman.c
0x00320a7c	DRyoutube	DRyoutube.c
0x002d2944	DVDOpendir	DVDOpendir(): directory '%s' is not found under %s  
0x002d297c	DVDOpendir	DVDOpendir(): file '%s' is specified as a directory name  
0x002d2908	DVDOpendir	DVDOpendir(): null pointer is specified to directory name  
0x0030ab9c	DataStart	DataStart	= %x	Size = %x
0x00309a4c	Defend	Defend spawn point
0x00309a60	Defend	Defend squadron point
0x00309f70	LineHits	Delete-LineHits
0x003048e0	Diagnostics	Diagnostics
0x00304bac	DinoVista	DinoVista:
0x00309c24	Disactivating	Disactivating
0x0030b1d4	linehit	Do you wish to save your linehit data?
0x0030b168	trackmap	Do you wish to save your trackmap data?
0x002d3ad0	Doesn	Doesn't match TV format: TV format in bootrom is %d but TV format specified in the game is %d (0:NTSC, 1:PAL, 2:MPAL)
0x00321e98	Click	Double Click Right
0x002efd18	DrawGroups	DrawGroups overflow
0x00323ed0	Drop2	Drop2
0x0030998c	devil	Dust devil
0x003042ec	ECaves_Shrine	ECaves_Shrine
0x002e5074	ActiveSounds,GetFreeActiveSound	ERROR in GetFreeActiveSound(), ActiveSounds[] is full!
0x002ece54	piRomLoadLevel	ERROR in piRomLoadLevel file %d
0x002f4398	EXF_NOOWNER	ERROR partfx EXF_NOOWNER & no attrib %d
0x002e5378	SequenceID,audioPlayStream	ERROR: audio.c: audioPlayStream(%d), SequenceID not found!
0x002e504c	wouldn	ERROR:FileName wouldn't fit in string
0x002e5230	MAX_PLAYING_SONGS,PlayingSongs	ERROR:PlayingSongs[] is full!  MAX_PLAYING_SONGS = 8
0x002efe58	checkMap	ERROR:track.c/checkMap() missing node size MAX=%d i=%d
0x002efe90	checkMap	ERROR:track.c/checkMap() size not word aligned for %d, %d
0x002f2a5c	ERRROR	ERRROR 1 %d
0x002f2a6c	ERRROR	ERRROR 2 %d  a1 %f a2 %f
