demoslot retailslot delta  #names  example
  333   315  +18    1  WallAnimato
  334   316  +18    1  XYZAnimator
  335   317  +18    1  ExplodeAnim
  336   318  +18    2  DIM2Explode
  339   319  +20    1  TexFrameAni
  341   320  +21    1  fogControl
  342   322  +20    1  FElevContro
  343   323  +20    1  FEseqobject
  345   325  +20    1  CloudPrison
  346   326  +20    1  CloudShipCo
  348   328  +20    1  CFGuardian
  349   329  +20    2  CFTreasWind
  350   330  +20    1  CFPowerBase
  351   331  +20    1  CFMainCryst
  352   332  +20    2  CFAmbientCl
  353   333  +20    1  LaserBeam
  354   334  +20    1  CFPrisonGua
  355   335  +20    1  CFPrisonUnc
  356   336  +20    1  GCRobotLigh
  357   337  +20    1  CFScalesGal
  358   338  +20    1  CF_ObjCreat
  362   339  +23    1  CFPerch
  363   340  +23    1  CFCageSwitc
  366   343  +23    1  SpiritDoorS
  367   344  +23    2  GunPowderBa
  368   345  +23    4  CFBlastedRo
  369   346  +23    3  CFExplodeFl
  372   349  +23    2  CFMainSlide
  374   351  +23    2  CFAttractor
  376   353  +23    1  CFTreasRobo
  377   354  +23    1  CFMagicWall
  379   356  +23    1  CFLevelCont
  380   357  +23    1  CFRemovalSh
  383   358  +25    3  CFExplodePi
  384   359  +25    1  SpiritDoorL
  385   360  +25    1  HoloPoint
  387   361  +26    1  IMIceMounta
  388   362  +26    2  CRrockfall
  389   363  +26    2  DIMMagicLig
  391   365  +26    1  IMIcePillar
  392   366  +26    1  IMAnimSpace
  393   367  +26    1  IMSpaceThru
  396   370  +26    1  LINKB_levco
  397   371  +26    1  LINK_levcon
  399   372  +27    1  CCriverflow
  401   373  +28    1  DFropenode
  410   374  +36    1  DFSH_Door1S
  411   375  +36    3  DFSH_Door2S
  414   376  +38    1  DFSH_Shrine
  415   377  +38    1  DFSH_ObjCre
  416   378  +38    1  ECSH_Spirit
  417   379  +38    1  DFSH_LaserB
  421   381  +40    2  DIM2_barrel
  422   382  +40    1  MMP_levelco
  425   385  +40    1  MMP_trenchF
  426   386  +40    1  MMP_moonroc
  427   387  +40    1  MMP_gyserve
  428   388  +40    2  DIMAnimShar
  429   389  +40    1  CCgasvent
  430   390  +40    1  CCgasventCo
  431   391  +40    1  CCqueen
  432   392  +40    1  CClightfoot
  433   393  +40    1  CCSharpclaw
  434   394  +40    1  CCpedstal
  435   395  +40    1  CClevcontro
  436   396  +40    1  MMSH_Shrine
  437   397  +40    1  MMSH_Scales
  438   398  +40    1  MMSH_WaterS
  439   399  +40    1  ECSH_Shrine
  440   400  +40    1  ECSH_Cup
  441   401  +40    1  ECSH_Creato
  442   402  +40    1  GPSH_Shrine
  443   403  +40    1  GPSH_ObjCre
  444   404  +40    1  GPSH_Scene
  447   405  +42    1  DBSH_Shrine
  448   406  +42    1  DBSH_Symbol
  458   415  +43    1  NW_treebrid
  459   416  +43    1  NW_geyser
  460   417  +43    4  NW_mammothb
  461   418  +43    1  NW_tricky
  462   419  +43    3  NW_animice1
  463   420  +43    3  NW_ice1
  464   421  +43    1  NW_levcontr
  465   422  +43    1  SH_tricky
  466   423  +43    1  LINK_BlueMu
  467   424  +43    1  SH_killermu
  468   425  +43    1  BombPlant
  470   427  +43    1  BombPlantin
  471   428  +43    1  SH_queenear
  474   430  +44    1  SH_LevelCon
  475   431  +44    1  SH_swaplift
  476   432  +44    1  SH_swapston
  477   433  +44    1  SH_staff
  478   434  +44    1  SH_staffHaz
  479   435  +44    1  SH_Beacon
  480   436  +44    1  SH_EmptyTum
  481   437  +44    4  SC_babyligh
  483   439  +44    2  SC_BirchTre
  484   440  +44    1  SC_totempol
  485   441  +44    1  SC_Cloudrun
  486   442  +44    1  SC_totempuz
  487   443  +44    1  SC_totembon
  488   444  +44    1  SC_totemstr
  489   445  +44    1  SC_paypoint
  490   446  +44    1  DIMLavaDebr
  492   448  +44    2  DIMLogFire
  495   451  +44    2  DIM2BossDoo
  496   452  +44    1  DIMIceWall
  497   453  +44    2  DIM2CannonT
  498   454  +44    2  DIMCannon
  499   455  +44    1  DIMLavaSmas
  501   457  +44    1  DIMDismount
  502   458  +44    1  DIMExplosio
  504   460  +44    1  DIMMagicBri
  505   461  +44    1  DIM_LevelCo
  508   464  +44    1  DIM_tricky
  510   466  +44    1  WORLDplanet
  511   467  +44   24  WORLDComet
  512   468  +44    1  WORLDAstero
  513   469  +44    1  DIM2Conveyo
  515   471  +44    1  DIM2SnowBal
  516   472  +44    1  DIM2PathGen
  517   473  +44    1  DIM2PrisonM
  520   476  +44    1  DIM2IceFloe
  521   477  +44    1  DIM2Icicle
  522   478  +44    1  DIM2LavaCon
  524   480  +44    1  DIM_Boss
  526   482  +44    1  DIM_BossTon
  528   484  +44    1  MAGICMaker
  529   485  +44    1  DIM_BossSpi
  530   486  +44    1  DIMbosscrac
  531   487  +44    3  CraterFlame
  532   488  +44    1  SB_Galleon
  533   489  +44    1  SB_Propelle
  534   490  +44    1  SB_ShipHead
  535   491  +44    1  SB_ShipMast
  536   492  +44    1  SB_ShipGun
  538   494  +44    1  SB_CannonBa
  539   495  +44    1  SB_CloudBal
  540   496  +44    1  SB_KyteCage
  541   497  +44    3  SB_DeckDoor
  542   498  +44    1  SB_CageKyte
  543   499  +44    1  SB_MiniFire
  544   500  +44    1  SB_Lamp
  545   501  +44    1  generalscal
  546   502  +44    4  DIMFlag
  547   503  +44    1  SB_ShipGunB
  548   504  +44    1  WM_Galleon
  549   505  +44    1  WM_ObjCreat
  550   506  +44    1  WM_seqobjec
  552   508  +44    2  ECSH_LaserB
  553   509  +44    1  WM_LaserTar
  554   510  +44    3  DFP_PuzzleP
  557   513  +44    1  WM_colrise
  560   516  +44    1  WM_Torch
  561   517  +44    1  WM_Vein
  562   518  +44    6  HangingLigh
  563   519  +44    1  WM_Worm
  564   520  +44    1  WM_Wallpowe
  565   521  +44    1  WM_LevelCon
  566   522  +44    1  WM_GeneralS
  567   523  +44    1  FireFly
  568   524  +44    1  WM_spiritpl
  569   525  +44    1  WM_seqpoint
  570   526  +44    2  WM_Crystal
  571   527  +44    1  WM_SpiritSe
  572   528  +44    2  WM_Planets
  573   529  +44    3  DR_BigSkeet
  575   531  +44    1  WM_VConsole
  576   532  +44    1  WM_TransTop
  577   533  +44    1  WM_newcryst
  578   534  +44    1  VFP_LevelCo
  579   535  +44    1  VFP_ObjCrea
  580   536  +44    1  VFP_MiniFir
  582   538  +44    1  VFP_statueb
  583   272 +311    1  VFP_Doorloc
  584   540  +44    1  VFP_Ladders
  585   541  +44    3  VFPLift1
  586   542  +44    1  VFP_Block1
  587   543  +44    2  VFPLavaBloc
  588   544  +44    2  VFP_DoorSwi
  589   545  +44    5  DBSH_seqpoi
  590   546  +44    1  VFPDragHead
  592   273 +319    1  VFP_PodiumP
  593   549  +44    1  VFP_flamepo
  594   550  +44    1  VFP_lavapoo
  595   551  +44    1  VFP_lavasta
  596   552  +44    1  VFP_SpellPl
  597   553  +44    1  DFP_LevelCo
  598   554  +44    1  DFP_ObjCrea
  599   555  +44    1  DFP_Torch
  601   557  +44    1  DFP_seqpoin
  602   558  +44    1  DFP_DoorSwi
  603   559  +44    1  DFP_floorba
  604   560  +44    1  DFP_wallbar
  605   561  +44    1  DFP_ForceAw
  606   562  +44    1  DFP_RotateP
  607   563  +44    1  DFP_Statue1
  608   564  +44    1  DFP_PerchSw
  609   565  +44    1  DFP_TargetB
  610   566  +44    1  DFP_LaserBe
  612   568  +44    1  LINKA_levco
  613   569  +44    2  DFP_Textblo
  614   570  +44    1  DFP_Platfor
  617   573  +44    1  DBPointMum
  621   575  +46    1  DB_egg
  639   576  +63    1  GCRobotBlas
  644   577  +67    1  DrakorEnerg
  647   578  +69    1  DBstealerwo
  651   579  +72    1  DBHoleContr
  661   589  +72    1  BossDrakor
  662   590  +72    2  BossDrakorD
  663   591  +72    1  KT_RexLevel
  664   592  +72    1  KT_Rex
  665   593  +72    1  KT_RexFloor
  666   594  +72    1  KT_Lazerwal
  667   595  +72    1  KT_Lazerlig
  668   596  +72    1  KT_Fallingr
  669   597  +72    4  CRSnowBike
  671   599  +72    1  DR_EarthWar
  672   600  +72    1  DR_CloudRun
  674   602  +72    1  StaticCamer
  676   604  +72    5  CRSnowClaw
  677   605  +72    1  CRCloudRace
  678   606  +72    2  CRSpellston
  679   607  +72    1  CRFuelTank
  680   608  +72    2  CRDropBomb
  681   609  +72    1  DR_LaserCan
  682   610  +72    2  DRbullet
  685   613  +72    1  DR_Creator
  686   614  +72    1  KytesMum
  688   616  +72    1  DR_CageCont
  689   617  +72    2  CCFoundGold
  690   618  +72    1  DR_Geezer
  691   619  +72    1  DR_Chimmey
  693   621  +72    1  DR_Vines
  694   622  +72    2  DR_BigShack
  695   623  +72    2  DR_Generato
  696   624  +72    1  DR_Rock
  697   625  +72    2  DR_PushCart
  698   626  +72    2  CC_HighTop
  699   627  +72    8  BossDrakorF
  700   628  +72    1  DR_pulley
  701   629  +72    1  DR_cradle
  703   631  +72    1  CFWindLiftL
  704   632  +72    2  DRCollapseP
  705   633  +72    1  DR_EnergyDi
  706   634  +72    1  DR_Collapse
  707   635  +72    2  DR_CaveIn
  708   636  +72    1  DR_LightBea
  711   639  +72    2  DR_LightHal
  712   640  +72    1  DR_CloudPer
  713   641  +72    1  DR_EarthCal
  714   642  +72    1  BarrelGener
  715   643  +72    1  DR_BarrelGr
  716   644  +72   17  SPBinocular
  717   645  +72    1  SPShop
  718   646  +72    1  SPShopKeepe
  719   647  +72    1  SPScarab
  720   648  +72    1  SPDrape
  721   649  +72    1  SPitembeam
  723   650  +73    3  WCEarthWalk
  725   652  +73    1  WCBouncyCra
  728   653  +75    1  WCLevelCont
  729   654  +75    1  WCBeacon
  730   655  +75    1  WCPressureS
  732   657  +75    1  WCTile
  733   658  +75    1  WCTrexStatu
  734   659  +75    1  WCInvUseObj
  736   661  +75    1  WCApertureS
  738   662  +76    1  WCTempleDia
  739   663  +76    1  WCTempleBri
  740   664  +76    1  WCFloorTile
  746   666  +80    1  ARWArwing
  747   667  +80    4  ANDAsteroid
  749   669  +80    2  ARWArwingGu
  751   671  +80    6  ARWBombColl
  752   672  +80    5  ANDSilverRi
  753   673  +80    1  ARWLevelCon
  754   674  +80    1  ARWSpeedStr
  757   677  +80    1  ARWGenerato
  758   678  +80    8  ARWBigAster
  759   679  +80    2  ARWProximit
  760   680  +80    2  ARWBlocker
  761   681  +80    2  CF_WallTorc
  762   682  +80    1  LGTDirectio
  763   683  +80    1  LGTProjecte
  764   684  +80    1  LGTControlL
  765   685  +80   22  AlienGrassC
  765   687  +78    1  RootPlant
  766   687  +79   10  FernTree
  767   688  +79    6  BoulderOne
  768   689  +79    1  ThusterSour
  769   690  +79    3  DustMoteSou
  770   692  +78    1  CNTcounter
  771   693  +78    2  CNTstopwatc
  772   694  +78    3  CNTColideOb
  773   695  +78    1  MCUpgrade
  774   696  +78    1  MCUpgradeMa
  775   697  +78    1  MCStaffEffe
  776   698  +78    1  MCLightning
  777   699  +78    1  GF_LevelCon
  778   700  +78    1  Andross
  779   701  +78    2  Androssleft
  780   702  +78    1  AndrossBrai
  781   704  +77    6  FrontFox
